Unnamed: 0,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
1,Shotfire GSM 2018,3.9,36,19.49,Australia / South Australia / Barossa,Thorn-Clarke,Australian Rhône Blend Red,14.5,"Mourvedre, Shiraz/Syrah, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,50.63,9.05,43.0
5,Passion has Red Lips 2014,3.8,648,18.49,Australia / South Australia / Fleurieu / McLaren Vale,Some Young Punks,Australian Cabernet - Shiraz,14.5,"70 Shiraz/Syrah, 30 Cabernet Sauvignon","['Beef', 'Lamb', 'Poultry']",85.0,49.37,8.19,44.78
7,Jester Shiraz 2018,3.9,658,22.0,Australia / South Australia / Fleurieu / McLaren Vale,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.65,19.07,44.18
8,Shotfire Quartage 2016,3.8,93,17.99,Australia / South Australia / Barossa,Thorn-Clarke,Australian Bordeaux Blend,14.5,"Cabernet Franc, Malbec, Cabernet Sauvignon","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,56.4,10.85,65.28
9,Stonehorse Shiraz 2018,4.0,288,29.17,Australia / South Australia / Barossa / Barossa Valley,Kaesler,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.04,44.21,22.1,41.95
12,Jester Shiraz 2017,3.8,883,16.99,Australia / South Australia / Fleurieu / McLaren Vale,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.65,19.07,44.18
15,Girt By Sea Cabernet - Merlot 2012,3.8,243,33.47,Australia / Western Australia / South West Australia / Margaret River,Voyager Estate,Australian Bordeaux Blend,13.8,"Merlot, Cabernet Sauvignon","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.22,53.62,5.3,61.61
19,Max's Shiraz - Cabernet 2019,4.0,561,21.99,Australia / South Australia,Penfolds,Australian Cabernet - Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Poultry']",85.0,47.68,8.05,44.07
20,The Formula Robert's Shiraz 2017,3.9,225,15.99,Australia / South Australia / Barossa / Barossa Valley,Small Gully,Australian Shiraz,15.9,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,43.67,19.47,42.11
24,Angels' Share Shiraz 2020,3.9,1803,26.99,Australia / South Australia / Fleurieu / McLaren Vale,Two Hands,Australian Shiraz,14.2,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.84,20.08,44.14
27,Chocolate Factory Shiraz 2019,4.0,86,21.49,Australia / South Australia / Fleurieu / McLaren Vale,Zonte's Footstep,Australian Shiraz,14.5,Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.07,16.96,44.91
28,Filius Chardonnay 2018,3.8,541,20.89,Australia / Western Australia / South West Australia / Margaret River,Vasse Felix,Australian Chardonnay,13.0,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",53.1818,46.29526972,9.05,53.555
